Understat_ID,FPL_ID,Understat_Name,FPL_Name
6722,606,Konstantinos Mavropanos,Konstantinos Mavropanos
9677,108,Kristoffer Ajer,Kristoffer Ajer
10802,437,Lisandro Martínez,Lisandro Martínez
-1,488,,Bruno Guimarães Rodriguez Moura
13091,723,Jaydee Canvot,Jaydee Canvot
-1,247,,Dário Luís Essugo
5221,49,Leon Bailey,Leon Bailey
-1,740,,Stephen Mfuni
9558,207,Hannibal Mejbri,Hannibal Mejbri
-1,834,,Ryan Kavuma-McQueen
7080,-1,Matheus Cunha,
-1,810,,Luka Bentt
-1,470,,Martin Dúbravka
13026,-1,Luis Guilherme,
11384,-1,João Gomes,
-1,214,,Mike Trésor Ndayishimiye
7546,389,Harvey Elliott,Harvey Elliott
13728,209,Josh Laurent,Josh Laurent
9487,191,Maxime Estève,Maxime Estève
4401,-1,Emiliano Martinez,
-1,364,,Mateo Joseph Fernández-Regatillo
-1,71,,Illia Zabarnyi
8272,-1,João Pedro,
6630,494,Joe Willock,Joe Willock
-1,112,,Mads Roerslev Rasmussen
7791,345,Sebastiaan Bornauw,Sebastiaan Bornauw
6219,98,Enes Ünal,Enes Ünal
-1,790,,Lucá Williams-Barnett
8260,430,Erling Haaland,Erling Haaland
1006,443,Luke Shaw,Luke Shaw
-1,837,,Jayden Lienou
2248,-1,Casemiro,
-1,397,,Darwin Núñez Ribeiro
6615,226,Trevoh Chalobah,Trevoh Chalobah
-1,280,,David Ozoh
-1,712,,Yéremy Pino Santos
8941,52,Jacob Ramsey,Jacob Ramsey
-1,583,,Dejan Kulusevski
11504,-1,Eli Junior Kroupi,
5956,48,Youri Tielemans,Youri Tielemans
13692,686,Rio Ngumoha,Rio Ngumoha
9977,210,Loum Tchaouna,Loum Tchaouna
10004,-1,Romeo Lavia,
9681,128,Frank Onyeka,Frank Onyeka
13719,551,Chris Rigg,Chris Rigg
6049,159,Solly March,Solly March
-1,256,,Daniel Muñoz Mejía
13364,-1,Diego Gómez,
9205,342,Jayden Bogle,Jayden Bogle
4456,525,Chris Wood,Chris Wood
-1,9,,Jakub Kiwior
6937,158,Georginio Rutter,Georginio Rutter
8430,261,Chris Richards,Chris Richards
-1,70,,Alex Paulsen
10715,-1,João Palhinha,
-1,278,,Jesurun Rak-Sakyi
-1,406,,Abdukodir Khusanov
7148,560,Wilson Isidor,Wilson Isidor
10552,-1,Alejandro Garnacho,
-1,14,,Maldini Kacurri
-1,248,,Kendry Páez Andrade
11707,8,Jurriën Timber,Jurriën Timber
11386,497,Lewis Miley,Lewis Miley
14055,739,Divine Mukasa,Divine Mukasa
8853,257,Maxence Lacroix,Maxence Lacroix
6756,300,Dwight McNeil,Dwight McNeil
10586,707,Tyler Dibling,Tyler Dibling
10721,113,Sepp van den Berg,Sepp van den Berg
-1,782,,Fraser Forster
-1,658,,Nathan Fraser
8393,413,Omar Marmoush,Omar Marmoush
-1,821,,Jack Whittaker
-1,831,,Josh Gracey
8986,683,Omar Alderete,Omar Alderete
6912,-1,Pedro Porro,
5973,322,Kenny Tete,Kenny Tete
13715,-1,Dan Ballard,
9524,486,Anthony Elanga,Anthony Elanga
6026,-1,Richarlison,
-1,101,,Caoimhín Kelleher
-1,685,,Bafodé Diakité
-1,36,,Matty Cash
-1,45,,Lino da Cruz Sousa
-1,477,,Tino Livramento
5735,283,Jean-Philippe Mateta,Jean-Philippe Mateta
-1,102,,Ellery Balcombe
181,314,Bernd Leno,Bernd Leno
-1,445,,Harry Amass
13834,-1,Ao Tanaka,
-1,540,,Timothée Pembélé
8808,-1,Wataru Endo,
-1,26,,Martín Zubimendi Ibáñez
-1,241,,Moisés Caicedo Corozo
14460,800,Djiamgone Jocelin Ta Bi,Djiamgone Jocelin Ta Bi
-1,251,,Nicolas Jackson
9944,347,Gabriel Gudmundsson,Gabriel Gudmundsson
9453,-1,Moisés Caicedo,
-1,222,,Mike Penders
675,419,Jack Grealish,Jack Grealish
-1,285,,Odsonne Édouard
6532,-1,Martin Dubravka,
13713,532,Trai Hume,Trai Hume
-1,729,,Luis Eduardo Soares da Silva
-1,315,,Steven Benda
-1,483,,Miodrag Pivaš
-1,185,,Václav Hladký
10024,662,Cristhian Mosquera,Cristhian Mosquera
-1,260,,Marc Guéhi
5743,726,Randal Kolo Muani,Randal Kolo Muani
500,324,Alex Iwobi,Alex Iwobi
-1,393,,Stefan Bajčetić Maquieira
-1,32,,Emiliano Martínez Romero
7352,85,Tyler Adams,Tyler Adams
-1,95,,Zain Silcott-Duberry
-1,61,,Leander Dendoncker
10293,-1,Toti,
1789,88,Lewis Cook,Lewis Cook
9017,228,Malo Gusto,Malo Gusto
12948,-1,Mateus Fernandes,
-1,127,,Gustavo Nunes Fernandes Gomes
14410,-1,Souza,
13247,747,Ezra Mayers,Ezra Mayers
-1,244,,Roméo Lavia
11296,384,Cody Gakpo,Cody Gakpo
2517,-1,Martin Odegaard,
10760,580,Brennan Johnson,Brennan Johnson
-1,224,,Marc Cucurella Saseta
8214,258,Tyrick Mitchell,Tyrick Mitchell
10405,748,Josh Dasilva,Josh Dasilva
11155,351,Wilfried Gnonto,Wilfried Gnonto
7589,230,Wesley Fofana,Wesley Fofana
7723,54,John McGinn,John McGinn
-1,75,,Matai Akinmboni
11808,-1,Andrey Santos,
13780,122,Antoni Milambo,Antoni Milambo
14374,801,Alex Tóth,Alex Tóth
-1,142,,Kjell Scherpen
8812,-1,Sasa Kalajdzic,
-1,439,,Diego León Blanco
14198,755,Shea Lacey,Shea Lacey
11253,231,Mamadou Sarr,Mamadou Sarr
-1,766,,Saheed Olagunju
9676,-1,David Raya,
-1,420,,İlkay Gündoğan
-1,194,,Jordan Beyer
11735,-1,Sávio,
-1,43,,Álex Moreno Lopera
10120,375,Conor Bradley,Conor Bradley
-1,789,,Max Merrick
8700,717,Xavi Simons,Xavi Simons
-1,327,,Andreas Hoelgebaum Pereira
-1,219,,Michael Obafemi
1433,385,Federico Chiesa,Federico Chiesa
13222,-1,Thiago,
7268,-1,Bafode Diakite,
13724,623,Freddie Potts,Freddie Potts
-1,617,,Maxwel Cornet
-1,361,,Darko Gyabi
-1,415,,Sávio Moreira de Oliveira
7365,-1,Lucas Paquetá,
13310,-1,Jamaldeen Jimoh,
8000,356,Ilia Gruev,Ilia Gruev
8875,720,Tolu Arokodare,Tolu Arokodare
-1,738,,Lukasz Fabianski
-1,461,,Jayce Fitzgerald
8780,152,Joël Veltman,Joël Veltman
585,-1,Seamus Coleman,
-1,511,,Felipe Rodrigues da Silva
-1,530,,Blondy Nna Noukeu
5609,587,Yves Bissouma,Yves Bissouma
6369,354,Ethan Ampadu,Ethan Ampadu
-1,767,,Luke Rawlings
13716,552,Noah Sadiki,Noah Sadiki
7526,-1,Martín Zubimendi,
5261,570,Kevin Danso,Kevin Danso
-1,628,,José Malheiro de Sá
-1,496,,Garang Kuol
-1,223,,Gabriel Słonina
6681,487,Harvey Barnes,Harvey Barnes
6818,581,James Maddison,James Maddison
9024,-1,Yeremi Pino,
-1,666,,Viktor Gyökeres
-1,630,,Tom King
586,409,John Stones,John Stones
14446,-1,Alysson Edward,
5789,58,Boubacar Kamara,Boubacar Kamara
12123,-1,Murillo,
-1,657,,Leon Chiwome
7958,491,Sandro Tonali,Sandro Tonali
-1,731,,Kevin Santos Lopes de Macedo
11763,-1,Abduqodir Khusanov,
6837,328,Ryan Sessegnon,Ryan Sessegnon
7298,-1,Ben White,
9789,730,Brian Brobbey,Brian Brobbey
10292,296,Nathan Patterson,Nathan Patterson
10764,573,Djed Spence,Djed Spence
-1,550,,Ian Poveda-Ocampo
13094,-1,Dário Essugo,
-1,616,,Edson Álvarez Velázquez
8378,684,Malick Thiaw,Malick Thiaw
-1,635,,Rodrigo Martins Gomes
-1,646,,João Victor Gomes da Silva
-1,539,,Luke O'Nien
10025,44,Lamare Bogarde,Lamare Bogarde
7768,455,Mason Mount,Mason Mount
13712,670,Robin Roefs,Robin Roefs
9911,725,Piero Hincapié,Piero Hincapié
-1,416,,Bernardo Mota Veiga de Carvalho e Silva
-1,687,,Remy Rees-Dottin
8662,669,Dan Ndoye,Dan Ndoye
-1,396,,Trey Nyoni
-1,784,,George Brierley
13224,595,Callum Olusesi,Callum Olusesi
-1,383,,Luis Díaz Marulanda
6552,119,Bryan Mbeumo,Bryan Mbeumo
9272,-1,Filip Jorgensen,
13474,-1,Julio Soler,
5304,-1,Mikel Merino,
9680,125,Vitaly Janelt,Vitaly Janelt
-1,323,,Samuel Amissah
766,480,Jamaal Lascelles,Jamaal Lascelles
725,507,Ola Aina,Ola Aina
-1,639,,Bastien Meupiyou Menadjou
11310,162,Brajan Gruda,Brajan Gruda
5544,675,Angus Gunn,Angus Gunn
14281,213,Jaydon Banel,Jaydon Banel
-1,528,,Anthony Patterson
14193,754,George Hemmings,George Hemmings
9556,500,William Osula,William Osula
6122,-1,Douglas Luiz,
-1,288,,Mark Travers
10527,167,Carlos Baleba,Carlos Baleba
11362,168,Facundo Buonanotte,Facundo Buonanotte
13022,-1,André,
-1,503,,Carlos Miguel dos Santos Pereira
9077,182,James Trafford,James Trafford
-1,778,,Ethan Sutherland
239,783,Pascal Groß,Pascal Groß
-1,572,,Radu Drăgușin
14424,813,Nilson Angulo,Nilson Angulo
9501,-1,Fabio Carvalho,
-1,518,,João Pedro Ferreira da Silva
13729,215,Zian Flemming,Zian Flemming
-1,428,,Sverre Nypan
10847,410,Rico Lewis,Rico Lewis
-1,788,,Godwill Kukonki
8252,519,Nicolás Domínguez,Nicolás Domínguez
-1,394,,James McConnell
13038,276,Justin Devenny,Justin Devenny
-1,708,,Mateus Gonçalo Espanha Fernandes
8489,-1,Jorge Cuenca,
6674,-1,Rayan Ait Nouri,
2203,-1,Emiliano Buendía,
-1,100,,Junior Kroupi
6314,317,Joachim Andersen,Joachim Andersen
-1,380,,Calvin Ramsay
-1,640,,Pedro Cardoso de Lima
11903,424,Oscar Bobb,Oscar Bobb
-1,558,,Jay Matete
6174,-1,Nikola Milenkovic,
-1,4,,Tommy Setford
-1,645,,Fer López González
-1,423,,Nico González Iglesias
-1,785,,Pablo Felipe Pereira de Jesus
978,627,Sam Johnstone,Sam Johnstone
11132,25,Ethan Nwaneri,Ethan Nwaneri
-1,157,,Mitoma Kaoru
10050,575,Micky van de Ven,Micky van de Ven
-1,240,,Christopher Nkunku
13156,-1,Pedro Lima,
-1,531,,Daniel Ballard
-1,696,,Arnaud Kalimuendo
8981,-1,Jéremy Doku,
6888,6,William Saliba,William Saliba
-1,311,,Norberto Bercique Gomes Betuncal
10747,77,James Hill,James Hill
-1,792,,Alysson Edward Franco da Rocha dos Santos
-1,764,,Reigan Heskey
8327,-1,Bruno Guimarães,
-1,465,,Rasmus Højlund
13779,-1,Jair,
3645,143,Olivier Boscagli,Olivier Boscagli
-1,741,,Harry Gray
10805,-1,Levi Colwill,
2182,-1,Jefferson Lerma,
-1,208,,Luca Koleosho
-1,460,,Toby Collyer
-1,196,,Shurandy Sambo
-1,607,,Nayef Aguerd
-1,510,,Jair Paula da Cunha Filho
8706,266,Eberechi Eze,Eberechi Eze
13392,42,Andrés García,Andrés García
-1,51,,Samuel Iling-Junior
-1,78,,Julián Araujo Zúñiga
-1,649,,Boubacar Traoré
5722,-1,Ibrahim Sangare,
10807,151,Jan Paul van Hecke,Jan Paul van Hecke
6104,270,Will Hughes,Will Hughes
10751,350,Brenden Aaronson,Brenden Aaronson
9105,-1,Radu Dragusin,
9098,-1,Robert Sánchez,
-1,761,,Freddie Simmonds
-1,705,,Elijah Campbell
-1,596,,Dominic Solanke-Mitchell
-1,252,,Marc Guiu Paz
5595,353,Daniel James,Daniel James
-1,534,,Joe Anderson
10184,591,Archie Gray,Archie Gray
-1,421,,Rodrigo 'Rodri' Hernandez Cascante
1228,-1,Bruno Fernandes,
8094,-1,Mathis Cherki,
-1,267,,Ismaïla Sarr
-1,80,,Julio Soler Barreto
-1,777,,Temple Ojinnaka
-1,282,,Franco Umeh-Chibueze
11356,237,Enzo Fernández,Enzo Fernández
-1,334,,Luke Harris
-1,15,,Josh Nichols
13723,603,El Hadji Malick Diouf,El Hadji Malick Diouf
885,659,Kyle Walker-Peters,Kyle Walker-Peters
-1,574,,Destiny Udogie
8995,-1,Hugo Ekitike,
-1,186,,Connor Roberts
-1,567,,Antonín Kinský
-1,335,,Josh King
-1,408,,Rúben dos Santos Gato Alves Dias
-1,363,,Patrick Bamford
-1,597,,Richarlison de Andrade
-1,308,,Isaac Heath
-1,806,,Christos Mandas
11231,-1,Ben Doak,
2496,-1,Rodri,
-1,156,,Charlie Tasker
11592,-1,Nico O&#039;Reilly,
-1,297,,Roman Dixon
-1,636,,Santiago Ignacio Bueno
10809,107,Keane Lewis-Potter,Keane Lewis-Potter
10348,693,Omari Hutchinson,Omari Hutchinson
11824,-1,Lucas Pires,
-1,148,,Ferdi Kadıoğlu
13399,175,Joe Knight,Joe Knight
7281,-1,Diogo Dalot,
-1,751,,Yusuf Akhamrich
833,373,Virgil van Dijk,Virgil van Dijk
-1,377,,Konstantinos Tsimikas
-1,76,,Owen Bevan
11003,522,Ryan Yates,Ryan Yates
-1,830,,Will Wright
7208,727,Samuel Chukwueze,Samuel Chukwueze
-1,137,,Iwan Morgan
741,287,Jordan Pickford,Jordan Pickford
-1,440,,Diogo Dalot Teixeira
11361,629,Daniel Bentley,Daniel Bentley
9790,-1,Josko Gvardiol,
13348,-1,Antonín Kinsky,
13870,702,Bradley Burrowes,Bradley Burrowes
-1,601,,Wes Foderingham
-1,337,,Raúl Jiménez Rodríguez
8868,250,Liam Delap,Liam Delap
-1,179,,Evan Ferguson
5355,202,Jacob Bruun Larsen,Jacob Bruun Larsen
7814,527,Taiwo Awoniyi,Taiwo Awoniyi
87,-1,Joelinton,
6903,502,Matz Sels,Matz Sels
-1,227,,Levi Samuels Colwill
6382,-1,Pedro Neto,
-1,524,,Marko Stamenić
-1,422,,Mateo Kovačić
14017,-1,John Victor,
-1,89,,Philip Billing
12766,-1,Jota Silva,
8067,225,Reece James,Reece James
-1,115,,Benjamin Fredrick
-1,664,,Benjamin Lecomte
-1,661,,Hugo Ekitiké
6816,609,Jean-Clair Todibo,Jean-Clair Todibo
-1,184,,Etienne Green
-1,147,,Pervis Estupiñán Tenorio
6963,81,Justin Kluivert,Justin Kluivert
-1,262,,Chadi Riad Dnanou
-1,309,,Jenson Metcalfe
-1,435,,Dermot Mee
-1,171,,Jeremy Sarmiento Morante
-1,22,,Mikel Merino Zazón
-1,809,,Jerome Abbey
12912,586,Lucas Bergvall,Lucas Bergvall
-1,366,,Alisson Becker
1679,-1,Dominic Solanke,
-1,506,,Murillo Costa dos Santos
-1,105,,Hákon Rafn Valdimarsson
14028,180,Stefanos Tzimas,Stefanos Tzimas
11807,39,Ian Maatsen,Ian Maatsen
-1,828,,Alfie Brooks
-1,46,,Yasin Özcan
14584,829,Jesse Derry,Jesse Derry
6145,271,Daichi Kamada,Daichi Kamada
-1,132,,Paris Maghoma
-1,715,,John Victor Maciel Furtado
-1,195,,Lucas Pires Silva
-1,780,,Ben Casey
-1,165,,Abdallah Sima
-1,689,,Seung-Soo Park
10945,-1,Santiago Bueno,
-1,637,,Toti Gomes
2958,12,Oleksandr Zinchenko,Oleksandr Zinchenko
-1,722,,Florentino Ibrain Morris Luís
-1,566,,Brandon Austin
5232,499,Alexander Isak,Alexander Isak
6986,-1,Hamed Junior Traore,
12726,732,Christantus Uche,Christantus Uche
12905,716,Nicolò Savona,Nicolò Savona
-1,523,,Eric da Silva Moreira
-1,514,,Willy Boly
12595,-1,Hákon Valdimarsson,
-1,118,,Jayden Meghoma
-1,450,,Matheus Santos Carneiro da Cunha
468,671,Callum Wilson,Callum Wilson
-1,379,,Rhys Williams
9780,584,Mathys Tel,Mathys Tel
10770,718,Soungoutou Magassa,Soungoutou Magassa
-1,404,,Manuel Akanji
-1,605,,Maximilian Kilman
12774,621,Andy Irving,Andy Irving
1018,205,Josh Cullen,Josh Cullen
12369,-1,Lucas Perri,
-1,265,,Caleb Kporha
8940,316,Antonee Robinson,Antonee Robinson
8150,485,Anthony Gordon,Anthony Gordon
13727,192,Quilindschy Hartman,Quilindschy Hartman
13835,362,Joël Piroe,Joël Piroe
10822,588,Wilson Odobert,Wilson Odobert
13298,794,Max Alleyne,Max Alleyne
8056,-1,Arnaud Kalimuendo Muinga,
-1,403,,Joško Gvardiol
5652,254,Walter Benítez,Walter Benítez
5596,329,Harry Wilson,Harry Wilson
7726,38,Ezri Konsa Ngoyo,Ezri Konsa Ngoyo
-1,520,,Lewis O'Brien
7134,-1,Marc Cucurella,
-1,452,,Amad Diallo
6820,86,David Brooks,David Brooks
-1,546,,Milan Aleksić
14118,181,Charalampos Kostoulas,Charalampos Kostoulas
-1,468,,Ethan Wheatley
13718,-1,Eliezer Mayenda,
-1,65,,Zépiqueno Redmond
7218,569,Cristian Romero,Cristian Romero
-1,134,,Ryan Trevitt
-1,313,,Martin Sherif
8969,-1,Florentino Luís,
592,55,Ross Barkley,Ross Barkley
6482,284,Eddie Nketiah,Eddie Nketiah
-1,91,,Luis Sinisterra Lucumí
10697,390,Ryan Gravenberch,Ryan Gravenberch
-1,608,,Ollie Scarles
8211,697,Amine Adli,Amine Adli
1688,372,Andrew Robertson,Andrew Robertson
8397,382,Florian Wirtz,Florian Wirtz
1257,-1,Alisson,
-1,432,,André Onana
-1,786,,Alfie McNally
-1,174,,Malick Yalcouyé
-1,472,,Odysseas Vlachodimos
-1,773,,Dean Benamar
-1,454,,Antony dos Santos
-1,155,,Jacob Slater
-1,501,,Sean Neave
-1,418,,Jérémy Doku
9451,-1,Chimuanya Ugochukwu,
-1,592,,Mikey Moore
4105,-1,Raúl Jiménez,
-1,338,,Rodrigo Muniz Carvalho
8267,618,Guido Rodríguez,Guido Rodríguez
-1,756,,Malcom DaCosta
6935,-1,Naif Aguerd,
14263,762,Joél Drakes-Thomas,Joél Drakes-Thomas
-1,598,,Will Lankshear
-1,688,,James Wright
-1,391,,Ben Gannon-Doak
605,124,Jordan Henderson,Jordan Henderson
5555,691,Dominic Calvert-Lewin,Dominic Calvert-Lewin
-1,398,,Jayden Danns
-1,3,,Karl Hein
-1,512,,Omar Richards
925,545,Patrick Roberts,Patrick Roberts
-1,822,,Jaydon Jones
-1,417,,Rayan Cherki
-1,536,,Leo Fuhr Hjelde
-1,692,,Giovanni Leoni
-1,138,,Jason Steele
-1,60,,Ben Broggio
-1,349,,Isaac Schmidt
5675,-1,Ismaila Sarr,
-1,57,,Lewis Dobbin
4422,218,Ashley Barnes,Ashley Barnes
579,405,Nathan Aké,Nathan Aké
9614,33,Marco Bizot,Marco Bizot
11710,543,Simon Adingra,Simon Adingra
6345,456,Jadon Sancho,Jadon Sancho
12408,-1,Daniel Muñoz,
-1,114,,Benjamin Arthur
-1,656,,Saša Kalajdžić
