element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,position,name,team
116,122,3,8,True,2025-11-29T15:00:00Z,3.0,1.0,13,False,73,0,0,1,0,0,0,0,0,0,0,0,17,16.4,2.3,6.0,2.5,8,4,2,10,1,0.21,0.04,0.25,0.14,40,-121,40615,849,970,116,DEF,Aaron Hickey,Brentford
674,125,9,2,False,2025-11-29T17:30:00Z,1.0,4.0,13,False,90,0,0,0,1,0,0,0,0,0,1,0,5,7.8,0.0,0.0,0.8,0,5,0,0,1,0.0,0.0,0.0,0.99,48,-472,72018,653,1125,674,GKP,Aaron Ramsdale,Newcastle
211,122,5,0,False,2025-11-29T15:00:00Z,3.0,1.0,13,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-9082,236480,0,9082,211,MID,Aaron Ramsey,Burnley
610,130,12,1,True,2025-11-30T14:05:00Z,0.0,2.0,13,False,90,0,0,0,2,0,0,0,0,0,0,0,6,12.6,8.3,2.0,2.3,5,3,1,6,1,0.0,0.04,0.04,1.24,42,-15212,678763,3883,19095,610,DEF,Aaron Wan-Bissaka,West Ham
234,123,1,0,True,2025-11-30T16:30:00Z,1.0,1.0,13,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-59,7351,0,59,234,DEF,Aarón Anselmino,Chelsea
165,127,16,0,False,2025-11-30T14:05:00Z,0.0,2.0,13,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-15,1515,0,15,165,MID,Abdallah Sima,Brighton
554,128,4,0,True,2025-11-29T15:00:00Z,3.0,2.0,13,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-2744,66027,2296,5040,554,MID,Abdoullah Ba,Sunderland
406,126,11,0,True,2025-11-29T15:00:00Z,3.0,2.0,13,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-190,34161,523,713,406,DEF,Abdukodir Khusanov,Man City
326,129,18,0,False,2025-11-29T20:00:00Z,1.0,2.0,13,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-615,18699,196,811,326,MID,Adama Traoré Diarra,West Ham
667,125,15,0,True,2025-11-29T17:30:00Z,1.0,4.0,13,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-103,6867,41,144,667,DEF,Adam Aznou,Everton
