first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,value_per_m
Martin,Ødegaard,1,7,71,1273,13,545.7,305.0,161.0,5,296,101.1,5,0,0,1.7,78,MID,9.102564102564102
Noni,Madueke,2,1,61,1122,9,307.5,209.6,343.0,6,208,85.9,7,0,0,0.8,68,MID,8.970588235294118
Gabriel,Martinelli Silva,1,4,49,974,7,170.8,175.6,359.0,1,164,69.9,2,0,3,0.9,68,MID,7.205882352941177
Leandro,Trossard,6,6,116,1907,15,531.2,493.2,534.0,11,433,156.1,10,0,2,2.0,66,MID,17.575757575757578
Declan,Rice,4,9,179,3003,25,1021.1,802.6,294.0,23,771,211.9,17,0,3,24.3,72,MID,24.86111111111111
Mikel,Merino Zazón,4,3,66,996,9,187.0,304.4,237.0,5,238,72.6,4,0,1,0.7,53,MID,12.452830188679245
Fábio,Ferreira Vieira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,MID,0.0
Christian,Nørgaard,0,0,6,56,1,0.4,15.8,7.0,0,19,2.4,0,0,0,0.1,51,MID,1.1764705882352942
Ethan,Nwaneri,0,0,8,165,0,22.5,8.6,24.0,0,20,5.4,1,0,0,0.1,50,MID,1.6
Martín,Zubimendi Ibáñez,5,1,130,2900,24,366.6,587.2,271.0,9,587,122.7,16,0,4,2.8,49,MID,26.530612244897956
Ismeal,Kabia,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID,0.0
Albert,Sambi Lokonga,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Kai,Havertz,1,2,24,460,3,62.7,93.6,140.0,0,92,29.8,3,0,0,0.6,73,FWD,3.2876712328767126
Gabriel,Fernando de Jesus,2,0,19,344,6,37.4,108.0,228.0,0,73,37.1,0,0,2,0.3,64,FWD,2.96875
Eberechi,Eze,7,3,109,1798,13,291.1,380.8,408.0,8,415,107.7,10,0,1,8.9,73,MID,14.931506849315069
Cristhian,Mosquera,0,0,30,806,7,66.6,171.2,16.0,1,161,25.5,2,0,4,0.2,53,DEF,5.660377358490567
Viktor,Gyökeres,14,1,126,2193,13,252.8,534.2,762.0,16,467,154.0,12,0,5,18.2,91,FWD,13.846153846153847
Max,Dowman,1,1,13,91,1,38.7,42.6,61.0,0,47,14.3,0,0,0,0.8,42,MID,3.095238095238095
Andre,Harriman-Annous,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,MID,0.0
Piero,Hincapié,1,2,84,1679,18,181.0,434.8,61.0,7,317,67.5,5,0,2,0.9,51,DEF,16.47058823529412
Marli,Salmon,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,0.0
Emiliano,Martínez Romero,0,1,120,2835,39,23.2,769.8,0.0,11,530,79.2,7,0,2,4.5,51,GKP,23.529411764705884
Marco,Bizot,0,0,14,495,9,0.0,118.2,0.0,0,65,11.8,1,0,2,0.4,42,GKP,3.333333333333333
Joe,Gauci,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,GKP,0.0
Filip,Marschall,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GKP,0.0
Matty,Cash,3,3,116,2971,38,500.0,635.0,219.0,7,446,135.4,8,0,9,7.7,47,DEF,24.680851063829785
Lucas,Digne,0,7,97,1842,23,455.5,400.2,130.0,5,381,98.5,7,0,3,1.5,45,DEF,21.555555555555557
Ezri,Konsa Ngoyo,0,1,100,3035,44,108.3,601.4,124.0,3,497,84.0,9,1,0,7.2,44,DEF,22.727272727272727
Ian,Maatsen,0,1,49,1500,26,348.1,309.2,220.0,0,219,87.9,2,0,2,0.5,42,DEF,11.666666666666666
Tyrone,Mings,0,1,46,1232,22,79.7,256.2,105.0,4,156,44.1,3,0,1,0.6,43,DEF,10.697674418604652
Pau,Torres,0,2,63,1656,19,46.8,320.0,72.0,2,280,44.2,5,0,1,0.3,43,DEF,14.651162790697676
Andrés,García,0,0,4,38,2,2.7,3.2,0.0,0,7,0.6,0,0,0,0.2,39,DEF,1.0256410256410258
Álex,Moreno Lopera,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.5,40,DEF,0.0
Lamare,Bogarde,0,0,38,970,16,58.0,129.8,14.0,4,116,20.1,2,0,5,0.5,40,DEF,9.5
Lino,da Cruz Sousa,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,38,DEF,0.0
Yasin,Özcan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF,0.0
Morgan,Rogers,10,8,169,3280,48,706.2,746.2,871.0,17,605,232.0,9,0,7,21.2,74,MID,22.837837837837835
Youri,Tielemans,0,4,67,1840,27,484.7,418.4,177.0,3,406,108.1,4,0,0,0.7,59,MID,11.35593220338983
Leon,Bailey,0,1,16,360,8,158.5,65.0,59.0,0,56,28.3,0,0,1,0.1,55,MID,2.909090909090909
Emiliano,Buendía Stati,6,2,96,1663,23,368.4,399.0,376.0,8,350,113.0,3,0,6,0.4,53,MID,18.11320754716981
Samuel,Iling-Junior,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55,MID,0.0
Donyell,Malen,4,2,55,640,10,99.7,183.4,290.0,3,161,56.3,1,0,0,0.4,51,MID,10.784313725490197
John,McGinn,5,4,102,2132,28,605.3,454.2,302.0,6,436,136.0,8,0,5,0.7,53,MID,19.245283018867926
Ross,Barkley,3,1,51,759,14,147.1,205.6,191.0,5,202,54.4,1,0,1,0.1,48,MID,10.625
Enzo,Barrenechea,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Lewis,Dobbin,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Boubacar,Kamara,1,3,61,1410,15,241.3,325.0,75.0,7,282,64.2,5,0,5,0.2,49,MID,12.448979591836734
Amadou,Onana,2,0,75,1738,26,151.1,409.6,178.0,4,348,73.9,6,0,3,0.6,48,MID,15.625
Ben,Broggio,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,44,MID,0.0
Leander,Dendoncker,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID,0.0
Jamaldeen,Jimoh-Aloba,0,0,1,8,0,0.3,0.2,0.0,0,3,0.1,0,0,0,0.1,45,MID,0.2222222222222222
Kadan,Young,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,43,MID,0.0
Ollie,Watkins,14,4,154,2743,37,328.4,646.8,1119.0,23,560,208.9,9,0,4,13.4,87,FWD,17.70114942528736
Zépiqueno,Redmond,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,45,FWD,0.0
Harvey,Elliott,0,0,5,110,2,31.7,11.8,31.0,0,17,7.4,0,0,0,0.2,51,MID,0.9803921568627452
Jadon,Sancho,0,2,37,863,10,290.6,130.2,193.0,0,141,61.6,2,0,0,0.2,58,MID,6.379310344827586
James,Wright,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,39,GKP,0.0
Douglas Luiz,Soares de Paulo,1,1,33,841,14,292.8,184.2,94.0,0,202,57.2,1,0,3,0.1,49,MID,6.73469387755102
Triston,Rowe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF,0.0
Bradley,Burrowes,0,0,1,16,1,0.3,0.0,0.0,0,3,0.0,0,0,0,0.1,43,MID,0.23255813953488372
Sam,Proctor,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,39,GKP,0.0
Travis,Patterson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,DEF,0.0
Victor,Lindelöf,0,1,27,870,14,35.7,157.8,22.0,0,113,21.6,1,0,0,0.1,45,DEF,6.0
George,Hemmings,0,0,2,25,0,1.7,0.0,2.0,0,5,0.3,0,0,0,0.0,45,MID,0.4444444444444444
Ronnie,Hollingshead,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GKP,0.0
Leon,Routh,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,0.0
TJ,Carroll,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,0.0
Alysson Edward Franco,da Rocha dos Santos,0,0,3,47,2,3.5,3.2,10.0,0,11,1.5,0,0,0,0.0,50,MID,0.6
Tammy,Abraham,2,0,23,278,8,49.2,87.2,136.0,2,93,27.1,0,0,0,0.2,57,FWD,4.035087719298246
Max,Weiß,0,0,2,90,2,0.0,30.8,0.0,0,13,3.1,0,0,0,0.1,42,GKP,0.47619047619047616
Etienne,Green,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,GKP,0.0
Václav,Hladký,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39,GKP,0.0
Connor,Roberts,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,43,DEF,0.0
Kyle,Walker,0,2,66,2915,64,221.3,483.8,26.0,3,224,73.4,4,0,9,1.1,44,DEF,14.999999999999998
Hannes,Delcroix,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,38,DEF,0.0
Owen,Dodgson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,0.0
Hjalmar,Ekdal,0,0,52,1539,34,55.8,372.0,88.0,2,159,51.7,2,0,0,0.7,38,DEF,13.68421052631579
Maxime,Estève,0,0,83,2852,69,92.3,721.8,97.0,0,253,91.3,3,0,1,6.8,38,DEF,21.842105263157897
Quilindschy,Hartman,0,6,63,1825,40,288.8,422.2,83.0,0,228,79.5,3,0,1,0.6,40,DEF,15.75
Bashir,Humphreys,0,2,44,1476,32,132.1,356.0,99.0,1,196,58.5,2,0,6,0.1,39,DEF,11.282051282051283
Jordan,Beyer,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39,DEF,0.0
Lucas,Pires Silva,0,0,22,1225,28,258.7,208.4,66.0,0,105,53.1,1,1,0,0.3,38,DEF,5.7894736842105265
Shurandy,Sambo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,0.0
Oliver,Sonne,1,0,13,164,4,18.1,44.8,30.0,0,20,9.2,0,0,0,0.2,38,DEF,3.4210526315789473
Axel,Tuanzebe,1,0,30,1021,24,10.1,242.2,52.0,0,83,30.6,1,0,1,0.9,39,DEF,7.6923076923076925
Joe,Worrall,0,0,20,496,11,1.5,147.4,19.0,0,40,17.0,0,0,0,0.2,38,DEF,5.2631578947368425
Jaidon,Anthony,8,4,123,2543,57,517.0,576.4,599.0,6,497,169.2,4,0,4,1.9,50,MID,24.6
Manuel,Benson Hedilazio,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,MID,0.0
Jacob,Bruun Larsen,0,1,39,1001,29,207.5,119.0,134.0,0,116,46.1,3,0,0,0.0,52,MID,7.5
Enock,Agyei,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,47,MID,0.0
Darko,Churlinov,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID,0.0
Josh,Cullen,2,2,70,1513,29,218.1,342.0,98.0,8,321,66.0,3,0,2,0.8,49,MID,14.285714285714285
Marcus,Edwards,1,3,50,1043,18,255.7,173.6,218.0,2,180,64.6,1,0,0,0.1,47,MID,10.638297872340425
Hannibal,Mejbri,1,5,57,1085,25,282.6,237.6,100.0,4,245,61.9,2,0,8,0.1,47,MID,12.127659574468085
Luca,Koleosho,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Josh,Laurent,1,0,55,1733,41,185.0,289.6,111.0,1,232,57.7,2,1,6,0.0,48,MID,11.458333333333334
Loum,Tchaouna,2,1,52,1104,22,191.6,166.6,156.0,0,188,51.7,2,0,2,0.0,48,MID,10.833333333333334
Aaron,Ramsey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.4,44,MID,0.0
Oluwaseun,Adewumi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Jaydon,Banel,0,0,1,9,0,0.5,0.0,0.0,0,2,0.0,0,0,0,0.0,45,MID,0.2222222222222222
Mike,Trésor Ndayishimiye,0,0,6,37,2,15.2,7.2,2.0,0,18,2.4,0,0,0,0.1,43,MID,1.3953488372093024
Zian,Flemming,10,0,89,1590,33,143.8,424.0,510.0,8,333,106.9,3,0,4,0.4,53,FWD,16.79245283018868
Zeki,Amdouni,0,0,2,25,0,1.9,2.6,16.0,0,6,2.0,0,0,0,0.0,48,FWD,0.4166666666666667
Lyle,Foster,3,2,58,1361,30,147.0,219.0,262.0,4,202,62.1,4,0,4,0.7,49,FWD,11.83673469387755
Ashley,Barnes,0,0,5,35,3,0.6,0.2,9.0,0,10,1.0,0,0,1,1.2,42,FWD,1.1904761904761905
Michael,Obafemi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,FWD,0.0
Martin,Dúbravka,0,0,96,3150,71,0.0,976.4,0.0,7,436,97.9,4,0,1,26.1,40,GKP,24.0
James,Ward-Prowse,0,1,38,1065,27,364.9,205.2,22.0,0,235,59.2,2,0,1,0.2,56,MID,6.7857142857142865
Lesley,Ugochukwu,3,3,93,2186,49,162.0,396.4,203.0,5,349,75.9,3,1,1,0.1,50,MID,18.6
Armando,Broja,1,1,43,843,27,78.9,102.0,207.0,2,119,38.5,1,0,0,0.1,52,FWD,8.269230769230768
Florentino Ibrain,Morris Luís,0,2,76,1933,43,219.9,380.0,48.0,0,325,65.0,2,0,6,0.0,50,MID,15.2
Oliver,Pimlott,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
George,Brierley,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Kian,McMahon-Brown,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Norberto,Murara Neto,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,GKP,0.0
Đorđe,Petrović,0,0,118,3240,52,0.0,774.2,0.0,5,485,77.6,11,0,3,5.0,46,GKP,25.65217391304348
Will,Dennis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,40,GKP,0.0
Callan,McKenna,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,GKP,0.0
Alex,Paulsen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,GKP,0.0
Illia,Zabarnyi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,DEF,0.0
Marcos,Senesi Barón,0,6,169,3108,51,364.5,1066.6,199.0,14,547,163.3,11,0,8,21.0,52,DEF,32.5
Adam,Smith,0,2,50,895,15,70.9,148.8,18.0,4,155,23.8,5,0,3,0.2,44,DEF,11.363636363636363
Adrien,Truffert,1,4,155,3198,49,506.7,779.6,176.0,18,565,146.3,11,0,4,4.7,47,DEF,32.97872340425532
Matai,Akinmboni,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,38,DEF,0.0
Owen,Bevan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,38,DEF,0.0
James,Hill,0,3,106,1922,22,149.8,545.4,111.0,4,373,80.9,8,0,3,7.3,42,DEF,25.238095238095237
Julián,Araujo Zúñiga,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,38,DEF,0.0
Chris,Mepham,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF,0.0
Julio,Soler Barreto,0,0,3,34,2,2.5,1.8,2.0,0,2,0.6,0,0,0,0.2,39,DEF,0.7692307692307693
Justin,Kluivert,2,0,40,914,18,304.1,146.6,128.0,3,147,57.8,4,0,4,0.6,69,MID,5.797101449275362
Marcus,Tavernier,6,4,125,2552,42,696.8,584.2,567.0,11,490,184.9,11,0,6,4.3,53,MID,23.58490566037736
Tyler,Adams,2,2,70,1589,26,151.7,361.6,114.0,3,320,63.0,7,0,7,0.3,49,MID,14.285714285714285
David,Brooks,1,3,58,1182,19,374.2,231.0,416.0,4,214,100.7,5,0,7,0.2,50,MID,11.6
Ryan,Christie,2,1,47,978,14,197.0,226.6,220.0,2,214,64.7,3,1,3,0.1,49,MID,9.591836734693876
Lewis,Cook,0,1,38,870,18,183.3,206.0,12.0,0,184,40.4,1,1,1,0.0,49,MID,7.755102040816326
Philip,Billing,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID,0.0
Alex,Scott,3,2,132,2758,40,468.5,578.6,314.0,9,583,135.8,11,0,5,2.1,49,MID,26.93877551020408
Luis,Sinisterra Lucumí,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Romain,Faivre,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID,0.0
Hamed,Traorè,0,1,4,16,2,10.0,21.2,0.0,0,12,3.1,0,0,0,0.3,45,MID,0.8888888888888888
Dominic,Sadi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Zain,Silcott-Duberry,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,MID,0.0
Ben,Winterburn,0,0,1,6,2,0.0,0.0,0.0,0,3,0.0,0,0,0,0.0,45,MID,0.2222222222222222
Francisco Evanilson,de Lima Barbosa,6,7,111,2581,39,383.0,334.8,792.0,6,389,150.7,10,0,2,2.3,66,FWD,16.81818181818182
Enes,Ünal,1,0,25,196,2,14.1,55.8,93.0,1,70,15.4,0,0,1,0.0,54,FWD,4.62962962962963
Daniel,Adu-Adjei,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,FWD,0.0
Junior,Kroupi,12,0,103,1516,20,284.6,493.0,506.0,11,436,128.1,9,0,5,6.3,46,FWD,22.39130434782609
Ben,Gannon-Doak,0,1,10,72,1,16.4,28.4,17.0,0,29,6.2,0,0,0,0.0,48,MID,2.0833333333333335
Bafodé,Diakité,0,0,46,1275,27,54.3,267.0,22.0,2,164,34.4,4,0,1,0.3,41,DEF,11.219512195121952
Remy,Rees-Dottin,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,43,MID,0.0
Amine,Adli,3,2,66,1057,17,235.1,267.4,260.0,4,237,75.5,3,0,2,0.2,54,MID,12.222222222222221
Álex,Jiménez Sánchez,1,2,74,2315,39,269.3,406.0,184.0,2,297,85.9,6,0,10,0.2,45,DEF,16.444444444444443
Veljko,Milosavljevic,0,0,19,367,6,13.9,98.4,10.0,0,63,12.2,1,0,0,0.0,44,DEF,4.3181818181818175
Malcom,DaCosta,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Fraser,Forster,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GKP,0.0
Charlie,Stevens,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Alex,Tóth,0,0,7,79,2,45.1,9.6,14.0,0,23,6.8,0,0,1,0.0,49,MID,1.4285714285714284
Christos,Mandas,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GKP,0.0
Rayan Vitor,Simplício Rocha,5,2,62,955,9,192.9,263.6,242.0,3,223,69.9,5,0,1,1.7,54,MID,11.481481481481481
Reiss,Nelson,0,1,12,117,2,32.1,42.4,29.0,0,36,9.9,0,0,0,0.1,48,MID,2.5
Dango,Ouattara,7,8,134,2181,34,420.0,507.4,691.0,16,428,161.2,6,0,5,1.6,56,MID,23.92857142857143
Caoimhín,Kelleher,0,0,137,3240,48,23.0,863.8,0.0,9,547,88.7,10,0,1,12.3,48,GKP,28.541666666666668
Ellery,Balcombe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,GKP,0.0
Matthew,Cox,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39,GKP,0.0
Julian,Eyestone,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39,GKP,0.0
Hákon Rafn,Valdimarsson,0,0,1,90,3,0.0,13.0,0.0,0,1,1.3,0,0,0,0.9,38,GKP,0.2631578947368421
Nathan,Collins,1,2,126,2881,43,133.0,813.4,321.0,7,437,126.9,9,0,6,2.5,49,DEF,25.71428571428571
Keane,Lewis-Potter,3,3,110,1872,31,317.7,356.0,348.0,5,333,102.2,9,0,1,1.6,48,DEF,22.916666666666668
Kristoffer,Ajer,0,2,76,1805,32,59.1,401.2,165.0,1,212,62.7,5,0,4,0.2,44,DEF,17.27272727272727
Rico,Henry,0,2,52,1322,22,82.0,151.6,35.0,0,144,26.9,4,0,2,0.1,43,DEF,12.093023255813954
Michael,Kayode,1,2,111,3168,48,459.1,591.4,130.0,9,484,118.4,10,0,8,1.1,46,DEF,24.1304347826087
Ethan,Pinnock,0,0,14,318,5,1.2,88.6,33.0,2,53,12.3,1,0,1,0.1,42,DEF,3.333333333333333
Mads,Roerslev Rasmussen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,0.0
Sepp,van den Berg,0,3,109,2671,40,97.4,639.6,301.0,3,429,103.9,8,0,2,1.1,44,DEF,24.77272727272727
Benjamin,Arthur,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,38,DEF,0.0
Benjamin,Fredrick,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF,0.0
Aaron,Hickey,0,0,36,649,9,16.3,98.2,43.0,0,103,15.6,2,0,1,0.3,40,DEF,9.0
Kim,Ji-soo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39,DEF,0.0
Jayden,Meghoma,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,0.0
Kevin,Schade,7,5,118,2654,33,377.4,499.2,758.0,5,365,162.5,11,1,6,1.4,68,MID,17.352941176470587
Mikkel,Damsgaard,4,4,112,2039,32,661.1,516.2,320.0,9,459,149.9,5,0,0,0.8,56,MID,20.0
Antoni,Milambo,0,0,1,45,3,1.8,4.0,0.0,0,5,0.6,0,0,0,0.0,52,MID,0.1923076923076923
Fábio,Freitas Gouveia Carvalho,1,0,13,100,4,6.5,39.0,36.0,1,42,8.1,0,0,0,0.1,46,MID,2.8260869565217392
Jordan,Henderson,1,3,76,1852,27,349.3,334.0,49.0,5,336,73.2,6,0,5,0.3,50,MID,15.2
Vitaly,Janelt,1,4,73,1344,20,334.7,335.8,91.0,6,309,75.3,5,0,7,0.1,49,MID,14.897959183673468
Mathias,Jensen,3,2,96,2157,32,595.3,426.8,196.0,1,450,121.8,9,0,3,0.2,49,MID,19.591836734693874
Gustavo,Nunes Fernandes Gomes,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID,0.0
Frank,Onyeka,0,2,12,88,2,13.6,28.4,4.0,0,41,4.6,0,0,0,0.0,48,MID,2.5
Yehor,Yarmoliuk,1,3,104,2652,42,272.0,446.0,117.0,1,450,83.4,8,0,7,0.1,50,MID,20.8
Romelle,Donovan,0,0,4,38,0,11.5,8.4,21.0,0,19,4.2,0,0,0,0.1,44,MID,0.9090909090909091
Yunus Emre,Konak,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43,MID,0.0
Paris,Maghoma,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Myles,Peart-Harris,0,0,1,1,0,0.0,0.0,0.0,0,2,0.0,0,0,0,0.0,44,MID,0.22727272727272727
Ryan,Trevitt,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Igor Thiago,Nascimento Rodrigues,22,1,179,3192,49,378.7,1010.8,1159.0,22,701,254.6,10,0,7,32.2,73,FWD,24.52054794520548
Iwan,Morgan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,44,FWD,0.0
Josh,Dasilva,0,0,2,2,0,11.3,0.4,4.0,0,5,1.6,0,0,0,0.0,49,MID,0.4081632653061224
Kaye,Furo,0,0,1,1,0,0.0,0.0,0.0,0,2,0.0,0,0,0,0.0,45,FWD,0.2222222222222222
Luka,Bentt,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Ollie,Shield,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,0.0
Joshua,Stephenson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,0.0
Conor,McManus,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,0.0
Riley,Owen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Jason,Steele,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,42,GKP,0.0
